,recipe_id,recommendations
0,1580,"[Row(user_id=44993, rating=5.102908134460449), Row(user_id=54625, rating=5.0335493087768555), Row(user_id=87617, rating=5.012665748596191), Row(user_id=38871, rating=5.012665748596191), Row(user_id=37637, rating=5.012665748596191), Row(user_id=8208, rating=5.012665748596191), Row(user_id=50692, rating=4.952849388122559), Row(user_id=12, rating=4.951909065246582), Row(user_id=25667, rating=4.951909065246582), Row(user_id=10653, rating=4.951909065246582)]"
1,471,"[Row(user_id=44993, rating=5.732348918914795), Row(user_id=84818, rating=5.617194175720215), Row(user_id=2934, rating=5.607440948486328), Row(user_id=9284, rating=5.473297119140625), Row(user_id=86417, rating=5.424647808074951), Row(user_id=77755, rating=5.424647808074951), Row(user_id=78395, rating=5.424647808074951), Row(user_id=9659, rating=5.411365509033203), Row(user_id=44164, rating=5.383541107177734), Row(user_id=50527, rating=5.383541107177734)]"
2,1591,"[Row(user_id=44993, rating=5.1739912033081055), Row(user_id=54625, rating=5.053995609283447), Row(user_id=37637, rating=5.016436576843262), Row(user_id=87617, rating=5.016436576843262), Row(user_id=38871, rating=5.016436576843262), Row(user_id=8208, rating=5.016436576843262), Row(user_id=12, rating=4.980677604675293), Row(user_id=25667, rating=4.980677604675293), Row(user_id=10653, rating=4.980677604675293), Row(user_id=13119, rating=4.980677604675293)]"
3,1342,"[Row(user_id=44993, rating=5.900515556335449), Row(user_id=2934, rating=5.750461578369141), Row(user_id=84818, rating=5.666721343994141), Row(user_id=9284, rating=5.619585990905762), Row(user_id=77755, rating=5.5675458908081055), Row(user_id=78395, rating=5.5675458908081055), Row(user_id=86417, rating=5.5675458908081055), Row(user_id=54625, rating=5.563389778137207), Row(user_id=9659, rating=5.548312187194824), Row(user_id=59647, rating=5.545422554016113)]"
4,2122,"[Row(user_id=44993, rating=5.67703914642334), Row(user_id=2934, rating=5.550204277038574), Row(user_id=84818, rating=5.546189785003662), Row(user_id=9284, rating=5.418405055999756), Row(user_id=86417, rating=5.369938850402832), Row(user_id=77755, rating=5.369938850402832), Row(user_id=78395, rating=5.369938850402832), Row(user_id=9659, rating=5.355973720550537), Row(user_id=38469, rating=5.329283714294434), Row(user_id=44164, rating=5.329283714294434)]"
5,2142,"[Row(user_id=44993, rating=5.379002094268799), Row(user_id=54625, rating=5.181911945343018), Row(user_id=2934, rating=5.177889823913574), Row(user_id=10653, rating=5.119464874267578), Row(user_id=25667, rating=5.119464874267578), Row(user_id=27079, rating=5.119464874267578), Row(user_id=12, rating=5.119464874267578), Row(user_id=13119, rating=5.119464874267578), Row(user_id=38871, rating=5.119001388549805), Row(user_id=37637, rating=5.119001388549805)]"
6,463,"[Row(user_id=44993, rating=5.570316314697266), Row(user_id=2934, rating=5.406079292297363), Row(user_id=54625, rating=5.290757179260254), Row(user_id=9284, rating=5.290099143981934), Row(user_id=59647, rating=5.244535446166992), Row(user_id=27079, rating=5.2404584884643555), Row(user_id=10653, rating=5.2404584884643555), Row(user_id=12, rating=5.2404584884643555), Row(user_id=25667, rating=5.2404584884643555), Row(user_id=13119, rating=5.2404584884643555)]"
7,833,"[Row(user_id=84818, rating=5.4103593826293945), Row(user_id=44993, rating=5.301825046539307), Row(user_id=2934, rating=5.226376533508301), Row(user_id=53016, rating=5.144687652587891), Row(user_id=14728, rating=5.115982532501221), Row(user_id=9929, rating=5.115982532501221), Row(user_id=80017, rating=5.115982532501221), Row(user_id=9284, rating=5.088868141174316), Row(user_id=49756, rating=5.067160606384277), Row(user_id=52833, rating=5.049674034118652)]"
8,3794,"[Row(user_id=44993, rating=5.45688533782959), Row(user_id=54625, rating=5.40244197845459), Row(user_id=87617, rating=5.386617183685303), Row(user_id=37637, rating=5.386617183685303), Row(user_id=38871, rating=5.386617183685303), Row(user_id=8208, rating=5.386617183685303), Row(user_id=50692, rating=5.322809219360352), Row(user_id=25667, rating=5.311382293701172), Row(user_id=10653, rating=5.311382293701172), Row(user_id=12, rating=5.311382293701172)]"
9,1645,"[Row(user_id=44993, rating=5.416083335876465), Row(user_id=54625, rating=5.241696357727051), Row(user_id=2934, rating=5.199545860290527), Row(user_id=37637, rating=5.1862897872924805), Row(user_id=87617, rating=5.1862897872924805), Row(user_id=38871, rating=5.1862897872924805), Row(user_id=8208, rating=5.1862897872924805), Row(user_id=12, rating=5.174236297607422), Row(user_id=25667, rating=5.174236297607422), Row(user_id=10653, rating=5.174236297607422)]"
10,3175,"[Row(user_id=44993, rating=5.412980556488037), Row(user_id=2934, rating=5.279204368591309), Row(user_id=84818, rating=5.2193193435668945), Row(user_id=9284, rating=5.157841205596924), Row(user_id=86417, rating=5.1104559898376465), Row(user_id=77755, rating=5.1104559898376465), Row(user_id=78395, rating=5.1104559898376465), Row(user_id=54625, rating=5.097060203552246), Row(user_id=9659, rating=5.093815326690674), Row(user_id=59647, rating=5.085604667663574)]"
11,496,"[Row(user_id=40960, rating=0.0), Row(user_id=40970, rating=0.0), Row(user_id=40980, rating=0.0), Row(user_id=40990, rating=0.0), Row(user_id=41000, rating=0.0), Row(user_id=41010, rating=0.0), Row(user_id=41020, rating=0.0), Row(user_id=41030, rating=0.0), Row(user_id=41040, rating=0.0), Row(user_id=41050, rating=0.0)]"
12,2366,"[Row(user_id=44993, rating=5.042244911193848), Row(user_id=54625, rating=4.957027435302734), Row(user_id=37637, rating=4.930889129638672), Row(user_id=87617, rating=4.930889129638672), Row(user_id=38871, rating=4.930889129638672), Row(user_id=8208, rating=4.930889129638672), Row(user_id=12, rating=4.879534721374512), Row(user_id=25667, rating=4.879534721374512), Row(user_id=10653, rating=4.879534721374512), Row(user_id=13119, rating=4.879534721374512)]"
13,2866,"[Row(user_id=44993, rating=5.321701526641846), Row(user_id=54625, rating=5.2374138832092285), Row(user_id=38871, rating=5.211691856384277), Row(user_id=8208, rating=5.211691856384277), Row(user_id=87617, rating=5.211691856384277), Row(user_id=37637, rating=5.211691856384277), Row(user_id=25667, rating=5.154550075531006), Row(user_id=13119, rating=5.154550075531006), Row(user_id=10653, rating=5.154550075531006), Row(user_id=12, rating=5.154550075531006)]"
14,148,"[Row(user_id=44993, rating=5.029263496398926), Row(user_id=2934, rating=4.914828300476074), Row(user_id=84818, rating=4.902225017547607), Row(user_id=9284, rating=4.798762798309326), Row(user_id=78395, rating=4.7556376457214355), Row(user_id=77755, rating=4.7556376457214355), Row(user_id=86417, rating=4.7556376457214355), Row(user_id=9659, rating=4.742729187011719), Row(user_id=59647, rating=4.720973014831543), Row(user_id=44164, rating=4.719657897949219)]"
15,1088,"[Row(user_id=84818, rating=4.780627727508545), Row(user_id=82803, rating=4.505311489105225), Row(user_id=82456, rating=4.485106468200684), Row(user_id=14728, rating=4.423284530639648), Row(user_id=80017, rating=4.423284530639648), Row(user_id=9929, rating=4.423284530639648), Row(user_id=17159, rating=4.390038013458252), Row(user_id=53016, rating=4.378801345825195), Row(user_id=82134, rating=4.374331474304199), Row(user_id=65974, rating=4.374331474304199)]"
16,1238,"[Row(user_id=44993, rating=5.160449028015137), Row(user_id=2934, rating=4.9907732009887695), Row(user_id=54625, rating=4.931493759155273), Row(user_id=9284, rating=4.889203071594238), Row(user_id=27079, rating=4.879176616668701), Row(user_id=10653, rating=4.879176616668701), Row(user_id=25667, rating=4.879176616668701), Row(user_id=12, rating=4.879176616668701), Row(user_id=13119, rating=4.879176616668701), Row(user_id=59647, rating=4.865966796875)]"
17,1829,"[Row(user_id=84818, rating=4.874277114868164), Row(user_id=44993, rating=4.8080644607543945), Row(user_id=2934, rating=4.733638763427734), Row(user_id=53016, rating=4.639737129211426), Row(user_id=80017, rating=4.6118669509887695), Row(user_id=14728, rating=4.6118669509887695), Row(user_id=9929, rating=4.6118669509887695), Row(user_id=9284, rating=4.610949516296387), Row(user_id=86417, rating=4.572916507720947), Row(user_id=78395, rating=4.572916507720947)]"
18,1959,"[Row(user_id=44993, rating=4.913530349731445), Row(user_id=54625, rating=4.871475696563721), Row(user_id=87617, rating=4.859525203704834), Row(user_id=38871, rating=4.859525203704834), Row(user_id=37637, rating=4.859525203704834), Row(user_id=8208, rating=4.859525203704834), Row(user_id=50692, rating=4.802126884460449), Row(user_id=25667, rating=4.788156032562256), Row(user_id=10653, rating=4.788156032562256), Row(user_id=12, rating=4.788156032562256)]"
19,2659,"[Row(user_id=44993, rating=5.303747177124023), Row(user_id=54625, rating=5.120655536651611), Row(user_id=2934, rating=5.0988898277282715), Row(user_id=37637, rating=5.062333106994629), Row(user_id=87617, rating=5.062333106994629), Row(user_id=38871, rating=5.062333106994629), Row(user_id=8208, rating=5.062333106994629), Row(user_id=12, rating=5.056941032409668), Row(user_id=25667, rating=5.056941032409668), Row(user_id=10653, rating=5.056941032409668)]"
20,3749,"[Row(user_id=0, rating=0.0), Row(user_id=10, rating=0.0), Row(user_id=20, rating=0.0), Row(user_id=30, rating=0.0), Row(user_id=40, rating=0.0), Row(user_id=50, rating=0.0), Row(user_id=60, rating=0.0), Row(user_id=70, rating=0.0), Row(user_id=80, rating=0.0), Row(user_id=90, rating=0.0)]"
21,540,"[Row(user_id=44993, rating=4.979068756103516), Row(user_id=2934, rating=4.862060070037842), Row(user_id=84818, rating=4.83336067199707), Row(user_id=9284, rating=4.748399257659912), Row(user_id=86417, rating=4.70536470413208), Row(user_id=77755, rating=4.70536470413208), Row(user_id=78395, rating=4.70536470413208), Row(user_id=9659, rating=4.691623210906982), Row(user_id=54625, rating=4.678114891052246), Row(user_id=59647, rating=4.675409317016602)]"
22,1460,"[Row(user_id=84818, rating=5.6877522468566895), Row(user_id=44993, rating=5.416878700256348), Row(user_id=53016, rating=5.38458251953125), Row(user_id=2934, rating=5.36961030960083), Row(user_id=14728, rating=5.364387512207031), Row(user_id=9929, rating=5.364387512207031), Row(user_id=80017, rating=5.364387512207031), Row(user_id=49756, rating=5.294715881347656), Row(user_id=82456, rating=5.283969402313232), Row(user_id=50580, rating=5.220860004425049)]"
23,1990,"[Row(user_id=84818, rating=5.946542263031006), Row(user_id=82456, rating=5.556777000427246), Row(user_id=80017, rating=5.545291900634766), Row(user_id=14728, rating=5.545291900634766), Row(user_id=9929, rating=5.545291900634766), Row(user_id=53016, rating=5.521024227142334), Row(user_id=82803, rating=5.4376420974731445), Row(user_id=49756, rating=5.389040470123291), Row(user_id=65974, rating=5.317483425140381), Row(user_id=82134, rating=5.317483425140381)]"
24,2580,"[Row(user_id=44993, rating=5.559047222137451), Row(user_id=2934, rating=5.42651891708374), Row(user_id=84818, rating=5.386225700378418), Row(user_id=9284, rating=5.3002519607543945), Row(user_id=77755, rating=5.2520318031311035), Row(user_id=78395, rating=5.2520318031311035), Row(user_id=86417, rating=5.2520318031311035), Row(user_id=9659, rating=5.236200332641602), Row(user_id=54625, rating=5.226276397705078), Row(user_id=59647, rating=5.220806121826172)]"
25,1721,"[Row(user_id=44993, rating=5.256397247314453), Row(user_id=2934, rating=5.135498046875), Row(user_id=84818, rating=5.116664886474609), Row(user_id=9284, rating=5.014625549316406), Row(user_id=78395, rating=4.969433784484863), Row(user_id=86417, rating=4.969433784484863), Row(user_id=77755, rating=4.969433784484863), Row(user_id=9659, rating=4.955606937408447), Row(user_id=59647, rating=4.934725761413574), Row(user_id=54625, rating=4.934179306030273)]"
26,2811,"[Row(user_id=44993, rating=5.091909408569336), Row(user_id=54625, rating=5.000483512878418), Row(user_id=37637, rating=4.972316265106201), Row(user_id=8208, rating=4.972316265106201), Row(user_id=38871, rating=4.972316265106201), Row(user_id=87617, rating=4.972316265106201), Row(user_id=25667, rating=4.923250198364258), Row(user_id=13119, rating=4.923250198364258), Row(user_id=10653, rating=4.923250198364258), Row(user_id=12, rating=4.923250198364258)]"
27,392,"[Row(user_id=44993, rating=5.052794456481934), Row(user_id=54625, rating=4.937926769256592), Row(user_id=38871, rating=4.902011394500732), Row(user_id=8208, rating=4.902011394500732), Row(user_id=37637, rating=4.902011394500732), Row(user_id=87617, rating=4.902011394500732), Row(user_id=25667, rating=4.865884780883789), Row(user_id=13119, rating=4.865884780883789), Row(user_id=12, rating=4.865884780883789), Row(user_id=10653, rating=4.865884780883789)]"
28,1522,"[Row(user_id=84818, rating=4.451486110687256), Row(user_id=82803, rating=4.188999176025391), Row(user_id=82456, rating=4.175495147705078), Row(user_id=14728, rating=4.12033748626709), Row(user_id=80017, rating=4.12033748626709), Row(user_id=9929, rating=4.12033748626709), Row(user_id=17159, rating=4.081337928771973), Row(user_id=53016, rating=4.080060005187988), Row(user_id=82134, rating=4.068610668182373), Row(user_id=65974, rating=4.068610668182373)]"
29,243,"[Row(user_id=84818, rating=5.172550201416016), Row(user_id=44993, rating=5.100072383880615), Row(user_id=2934, rating=5.021544456481934), Row(user_id=53016, rating=4.923320293426514), Row(user_id=80017, rating=4.893885612487793), Row(user_id=14728, rating=4.893885612487793), Row(user_id=9929, rating=4.893885612487793), Row(user_id=9284, rating=4.89126443862915), Row(user_id=77755, rating=4.850959777832031), Row(user_id=78395, rating=4.850959777832031)]"
30,623,"[Row(user_id=44993, rating=4.653869152069092), Row(user_id=2934, rating=4.518830299377441), Row(user_id=9284, rating=4.421201705932617), Row(user_id=54625, rating=4.416571617126465), Row(user_id=59647, rating=4.380776405334473), Row(user_id=84818, rating=4.379932880401611), Row(user_id=86417, rating=4.378632068634033), Row(user_id=77755, rating=4.378632068634033), Row(user_id=78395, rating=4.378632068634033), Row(user_id=10653, rating=4.375258922576904)]"
31,1483,"[Row(user_id=84818, rating=5.204700946807861), Row(user_id=44993, rating=5.13489294052124), Row(user_id=2934, rating=5.055239200592041), Row(user_id=53016, rating=4.954397201538086), Row(user_id=80017, rating=4.9245805740356445), Row(user_id=14728, rating=4.9245805740356445), Row(user_id=9929, rating=4.9245805740356445), Row(user_id=9284, rating=4.924266815185547), Row(user_id=86417, rating=4.883633613586426), Row(user_id=78395, rating=4.883633613586426)]"
32,2563,"[Row(user_id=44993, rating=5.144223213195801), Row(user_id=54625, rating=4.969975471496582), Row(user_id=2934, rating=4.943580627441406), Row(user_id=87617, rating=4.91450834274292), Row(user_id=37637, rating=4.91450834274292), Row(user_id=38871, rating=4.91450834274292), Row(user_id=8208, rating=4.91450834274292), Row(user_id=25667, rating=4.9075422286987305), Row(user_id=10653, rating=4.9075422286987305), Row(user_id=12, rating=4.9075422286987305)]"
33,1084,"[Row(user_id=84818, rating=5.573724746704102), Row(user_id=9929, rating=5.224208831787109), Row(user_id=14728, rating=5.224208831787109), Row(user_id=80017, rating=5.224208831787109), Row(user_id=53016, rating=5.220555782318115), Row(user_id=82456, rating=5.19476842880249), Row(user_id=49756, rating=5.112846374511719), Row(user_id=82803, rating=4.99443244934082), Row(user_id=50580, rating=4.975764274597168), Row(user_id=2934, rating=4.969032287597656)]"
34,1025,"[Row(user_id=44993, rating=5.851227760314941), Row(user_id=54625, rating=5.731727600097656), Row(user_id=87617, rating=5.694597244262695), Row(user_id=8208, rating=5.694597244262695), Row(user_id=38871, rating=5.694597244262695), Row(user_id=37637, rating=5.694597244262695), Row(user_id=25667, rating=5.645727157592773), Row(user_id=13119, rating=5.645727157592773), Row(user_id=10653, rating=5.645727157592773), Row(user_id=12, rating=5.645727157592773)]"
35,1395,"[Row(user_id=44993, rating=5.190263748168945), Row(user_id=54625, rating=5.008136749267578), Row(user_id=2934, rating=4.991513252258301), Row(user_id=37637, rating=4.9500885009765625), Row(user_id=87617, rating=4.9500885009765625), Row(user_id=38871, rating=4.9500885009765625), Row(user_id=8208, rating=4.9500885009765625), Row(user_id=12, rating=4.946348190307617), Row(user_id=25667, rating=4.946348190307617), Row(user_id=10653, rating=4.946348190307617)]"
36,2235,"[Row(user_id=44993, rating=5.672464370727539), Row(user_id=54625, rating=5.515359878540039), Row(user_id=38871, rating=5.465754508972168), Row(user_id=8208, rating=5.465754508972168), Row(user_id=37637, rating=5.465754508972168), Row(user_id=87617, rating=5.465754508972168), Row(user_id=25667, rating=5.43984317779541), Row(user_id=13119, rating=5.43984317779541), Row(user_id=10653, rating=5.43984317779541), Row(user_id=12, rating=5.43984317779541)]"
37,3475,"[Row(user_id=44993, rating=5.361502647399902), Row(user_id=2934, rating=5.212752819061279), Row(user_id=9284, rating=5.097991943359375), Row(user_id=84818, rating=5.082516193389893), Row(user_id=54625, rating=5.0764312744140625), Row(user_id=77755, rating=5.049572467803955), Row(user_id=86417, rating=5.049572467803955), Row(user_id=78395, rating=5.049572467803955), Row(user_id=59647, rating=5.044033050537109), Row(user_id=25667, rating=5.031064033508301)]"
38,1896,"[Row(user_id=44993, rating=5.210211753845215), Row(user_id=2934, rating=5.066835880279541), Row(user_id=9284, rating=4.954918384552002), Row(user_id=84818, rating=4.9454121589660645), Row(user_id=54625, rating=4.931166648864746), Row(user_id=86417, rating=4.907973289489746), Row(user_id=78395, rating=4.907973289489746), Row(user_id=77755, rating=4.907973289489746), Row(user_id=59647, rating=4.90120792388916), Row(user_id=9659, rating=4.888172626495361)]"
39,3226,"[Row(user_id=44993, rating=5.4528608322143555), Row(user_id=84818, rating=5.373505592346191), Row(user_id=2934, rating=5.339668273925781), Row(user_id=9284, rating=5.210178852081299), Row(user_id=77755, rating=5.16441535949707), Row(user_id=78395, rating=5.16441535949707), Row(user_id=86417, rating=5.16441535949707), Row(user_id=9659, rating=5.153237342834473), Row(user_id=53016, rating=5.13814640045166), Row(user_id=44164, rating=5.125214576721191)]"
40,737,"[Row(user_id=44993, rating=5.730443000793457), Row(user_id=84818, rating=5.677940368652344), Row(user_id=2934, rating=5.617246150970459), Row(user_id=9284, rating=5.479233741760254), Row(user_id=86417, rating=5.431666374206543), Row(user_id=77755, rating=5.431666374206543), Row(user_id=78395, rating=5.431666374206543), Row(user_id=53016, rating=5.424472808837891), Row(user_id=9659, rating=5.42141056060791), Row(user_id=52833, rating=5.394020080566406)]"
41,897,"[Row(user_id=44993, rating=4.853819370269775), Row(user_id=54625, rating=4.835878372192383), Row(user_id=37637, rating=4.831859588623047), Row(user_id=87617, rating=4.831859588623047), Row(user_id=38871, rating=4.831859588623047), Row(user_id=8208, rating=4.831859588623047), Row(user_id=50692, rating=4.775347709655762), Row(user_id=25667, rating=4.749076843261719), Row(user_id=10653, rating=4.749076843261719), Row(user_id=12, rating=4.749076843261719)]"
42,1127,"[Row(user_id=44993, rating=5.340702056884766), Row(user_id=54625, rating=5.143647193908691), Row(user_id=2934, rating=5.141819953918457), Row(user_id=10653, rating=5.081904888153076), Row(user_id=25667, rating=5.081904888153076), Row(user_id=13119, rating=5.081904888153076), Row(user_id=12, rating=5.081904888153076), Row(user_id=27079, rating=5.081904888153076), Row(user_id=38871, rating=5.080733776092529), Row(user_id=87617, rating=5.080733776092529)]"
43,1507,"[Row(user_id=84818, rating=5.1878533363342285), Row(user_id=44993, rating=5.119808673858643), Row(user_id=2934, rating=5.040098190307617), Row(user_id=53016, rating=4.938593864440918), Row(user_id=9284, rating=4.909608364105225), Row(user_id=14728, rating=4.90877628326416), Row(user_id=9929, rating=4.90877628326416), Row(user_id=80017, rating=4.90877628326416), Row(user_id=77755, rating=4.869067668914795), Row(user_id=78395, rating=4.869067668914795)]"
44,2387,"[Row(user_id=84818, rating=5.207274436950684), Row(user_id=44993, rating=5.115562438964844), Row(user_id=2934, rating=5.040339469909668), Row(user_id=53016, rating=4.953516006469727), Row(user_id=80017, rating=4.925077438354492), Row(user_id=14728, rating=4.925077438354492), Row(user_id=9929, rating=4.925077438354492), Row(user_id=9284, rating=4.908474922180176), Row(user_id=49756, rating=4.879580020904541), Row(user_id=77755, rating=4.868372440338135)]"
45,858,"[Row(user_id=44993, rating=4.777115345001221), Row(user_id=84818, rating=4.720078945159912), Row(user_id=2934, rating=4.680277347564697), Row(user_id=9284, rating=4.566054344177246), Row(user_id=77755, rating=4.526174545288086), Row(user_id=78395, rating=4.526174545288086), Row(user_id=86417, rating=4.526174545288086), Row(user_id=9659, rating=4.516984462738037), Row(user_id=53016, rating=4.511410236358643), Row(user_id=50527, rating=4.491790771484375)]"
46,3698,"[Row(user_id=84818, rating=5.147304534912109), Row(user_id=44993, rating=5.047377109527588), Row(user_id=2934, rating=4.974916458129883), Row(user_id=53016, rating=4.89505672454834), Row(user_id=80017, rating=4.8675360679626465), Row(user_id=14728, rating=4.8675360679626465), Row(user_id=9929, rating=4.8675360679626465), Row(user_id=9284, rating=4.844219207763672), Row(user_id=49756, rating=4.82147741317749), Row(user_id=52833, rating=4.80604887008667)]"
47,2999,"[Row(user_id=44993, rating=5.2070770263671875), Row(user_id=54625, rating=5.1197733879089355), Row(user_id=37637, rating=5.093011379241943), Row(user_id=87617, rating=5.093011379241943), Row(user_id=38871, rating=5.093011379241943), Row(user_id=8208, rating=5.093011379241943), Row(user_id=12, rating=5.039614677429199), Row(user_id=25667, rating=5.039614677429199), Row(user_id=10653, rating=5.039614677429199), Row(user_id=13119, rating=5.039614677429199)]"
48,3179,"[Row(user_id=44993, rating=5.477542400360107), Row(user_id=54625, rating=5.379926681518555), Row(user_id=37637, rating=5.3498687744140625), Row(user_id=8208, rating=5.3498687744140625), Row(user_id=38871, rating=5.3498687744140625), Row(user_id=87617, rating=5.3498687744140625), Row(user_id=25667, rating=5.296704292297363), Row(user_id=13119, rating=5.296704292297363), Row(user_id=10653, rating=5.296704292297363), Row(user_id=12, rating=5.296704292297363)]"
49,1270,"[Row(user_id=84818, rating=2.322148323059082), Row(user_id=44993, rating=2.255495548248291), Row(user_id=2934, rating=2.22721529006958), Row(user_id=53016, rating=2.205064296722412), Row(user_id=14728, rating=2.1940219402313232), Row(user_id=9929, rating=2.1940219402313232), Row(user_id=80017, rating=2.1940219402313232), Row(user_id=49756, rating=2.1707186698913574), Row(user_id=9284, rating=2.1674368381500244), Row(user_id=52833, rating=2.155930995941162)]"
